conm,cusip,cusip9digit,gvkey,id1,loc,ticker
ADVISORSHARES GLOBAL ECHO,00768Y77,00768Y776,7498,463,USA,GIVE
ADVISORSHARES GARTMN GLD/YEN,00768Y68,00768Y685,19781,462,USA,GYEN
ADVISORSHARES GARTMAN GLD/BP,00768Y67,00768Y677,19783,461,USA,GGBP
ADVERTISING.COM INC-REDH,00763D10,00763D108,266314,453,USA,ADCM
ADVENT/CLAYMORE ENCD GRWTH,00765E10,00765E104,162858,452,USA,LCM
ADVENT TECHNOLOGIES INC,00755B20,00755B201,13478,451,USA,AVTI.1
ADVENT CONVERTIBL AND INC FD,00764C10,00764C109,153773,449,USA,AVK
ADVENT CLAYMORE CV SEC&IN II,00763910,007639107,177532,448,USA,AGC
ADVISORSHARES MRGN CRK GBL,00768Y80,00768Y800,185787,469,USA,GTAA
ADVISORSHARES NEWFLEET MULTI,00768Y72,00768Y727,17554,470,USA,MINC
ADVISORSHARES YIELDPRO ETF,00768Y64,00768Y644,19928,478,USA,YPRO
ADVISORSHARES VICE ETF,00768Y54,00768Y545,32820,477,USA,ACT
ADVISORSHARES STAR GLB BYWRT,00768Y76,00768Y768,14507,476,USA,VEGA
ADVISORSHARES SAGE CORE RSRV,00768Y65,00768Y651,19542,475,USA,HOLD
ADVISORSHARES QAM EQUITY HDG,00768Y75,00768Y750,13655,474,USA,QEH
ADVISORSHARES PURE CNBS ETF,00768Y49,00768Y495,35107,473,USA,YOLO
ADVISORSHARES PRING TURN BUS,00768Y73,00768Y735,16762,472,USA,DBIZ
ADVISORSHARES NT & MEDIA ETF,00768Y55,00768Y552,33329,471,USA,FNG
ADVISORSHR DRSY WRGT SHR ETF,00768Y52,00768Y529,33788,480,USA,DWSH
ADVISORSHR DRSY WGT MRCP ETF,00768Y53,00768Y537,33790,479,USA,DWMC
ADVISORSHS ACCUVEST GLBL ETF,00768Y40,00768Y404,185216,482,USA,AGLS
ADVISORSHRS MKT ADPTV UNCNST,00768Y63,00768Y636,21072,481,USA,MAUI
AEGEA INC -OLD,00799N93,00799N930,18425,493,USA,AEGA.1
AEARO TECHNOLOGIES INC -REDH,00199T93,00199T933,166357,491,USA,AER.4
AEGIS IDENTITY SOFTWR -REDH,00773Q10,00773Q107,27683,498,USA,AIDM
AEGIS CONSUMER FDG GROUP INC,00760G10,00760G104,31682,497,USA,ACAR.
ADVNTAGE INSURANCE INC -REDH,00779P70,00779P707,32747,488,USA,AVI
ADVISORSHS TR ATHENA HI DIV,00768Y62,00768Y628,21275,486,USA,DIVI
ADVISORSHS ATHENA INTL BEAR,00768Y71,00768Y719,18374,483,USA,HDGI
ADVISORSHS CORNERSTONE SM CP,00768Y58,00768Y586,27659,484,USA,SCAP
AEOLUS PHARMACEUTICALS INC,00765G10,00765G109,61980,504,USA,AOLS
AEL INDUSTRIES  -CL A,00103010,001030105,1017,502,USA,AELNA
AERO SYSTEMS INC,00769810,007698103,1155,517,USA,AESM
AETERNA ZENTARIS INC,00797540,007975402,63562,532,USA,AEZS
AEW REAL ESTATE INCOME FUND,00104H10,00104H107,151608,537,USA,RIF.1
AFA PROTECTIVE SYSTEMS INC,00103810,001038108,1019,539,USA,AFAP
AF OCEAN INVESTMENT MGMT CO,00107N10,00107N101,187436,538,USA,AFAN
AFFINIA GROUP INTRMDT HLDGS,00899T00,00899T001,163124,548,USA,0156A
AFFINIA GROUP HLDGS INC-REDH,00999Z93,00999Z931,185162,547,USA,AFN
AFFILIATED PUBNS,00826210,008262107,1181,546,USA,AFP.1
AFFILIATED NEWSPAPERS INVST,00825R10,00825R103,62986,545,USA,9480B
AFFINION GROUP HOLDINGS INC,00829420,008294209,178540,549,USA,AFGR
AFFILIATED BANKSHARES COLO,00818210,008182107,1178,541,USA,AFBK.
AFFINION GROUP INC,00828D00,00828D002,165164,550,USA,0167A
AFFIRMATIVE INS HOLDINGS INC,00827210,008272106,160181,556,USA,AFFMQ
AFFINITY WRLD LDRS EQTY ETF,90214Q10,90214Q105,32892,555,USA,WLDR
AFFINITY TECHNOLOGY GRP INC,00826M10,00826M103,62702,554,USA,AFFI
AFFINITY INTL TRAVEL SYS,00826F10,00826F108,107816,553,USA,AFFT.1
AFFINITY GAMING LLC,42799Y93,42799Y938,147571,551,USA,0215B
AG CHEM EQUIPMENT INC,00836310,008363103,22360,566,USA,AGCH
AFSALA BANCORP INC,00106110,001061100,63929,563,USA,AFED
AFN INC,00105720,001057207,13581,561,USA,3AMFNE
AFG HOLDINGS INC -REDH,00832C10,00832C107,33599,559,USA,AFGL
AGENCY.COM LTD,00844710,008447104,126694,574,USA,ACOM.2
AGFIQ US MKT NEUTRAL MOMENTM,00110G10,00110G101,188755,587,USA,MOM
AGFIQ US MARKET NEUTRL VALUE,00110G20,00110G200,189464,586,USA,CHEP
AGFIQ US MARKET NEUTRAL SIZE,00110G30,00110G309,188756,585,USA,SIZ
AGFIQ US MARKET NEUTRAL ANTI,00110G40,00110G408,189466,584,USA,BTAL
AGFIQ HEDGED DIV INCOME FUND,00110G88,00110G887,22874,583,USA,DIVA
AGFIQ GLOBAL INFRA ETF,00110G60,00110G606,35239,582,USA,GLIF
AGFIQ DYNAMIC HDGD US EQ ETF,00110G50,00110G507,35238,581,USA,USHG
AGFEED INDUSTRIES INC,00846L10,00846L101,165832,580,USA,FEEDQ
AGES HEALTH SERVICES INC,00130710,001307107,29380,578,USA,AHSI
AGENT INFORMATION SOFTWR INC,00847D10,00847D108,1874,575,USA,AIFS
AGA MEDICAL HOLDINGS INC,00836810,008368102,180279,570,USA,AGAM
AG&E HOLDINGS INC,00108M10,00108M102,11361,569,USA,AGNUQ
AGRITECH WORLDWIDE INC,00856P10,00856P109,123434,605,USA,FBER
AGRIPOST INC,00854310,008543100,21123,604,USA,AGPT
AGRIDYNE TECHNOLOGIES INC,00853T10,00853T104,24928,603,USA,AGRI.
AGRI DYNAMICS INC,00849520,008495202,1190,600,USA,AGDY
AGRAQUEST INC,00849E10,00849E104,144808,598,USA,AGRQ
AGP & CO INC,00123020,001230200,21256,597,USA,3AGPC
AGJUNCTION INC,00847V10,00847V108,105950,594,USA,AJXGF
AI POWERED EQUITY ETF,26924G81,26924G813,32576,616,USA,AIEQ
AI DOCUMENT SERVICES INC,00136N10,00136N106,181520,615,USA,AIDC
AHPC HOLDINGS INC,00130310,001303106,14886,613,USA,GLOV
AHMANSON (H F) & CO,00867710,008677106,1194,612,USA,AHM.1
AIM STRATEGIC INCOME FUND,00142G10,00142G103,15461,624,USA,AST.1
AIM SELECT R E INCOME FUND,00888R10,00888R107,148871,623,USA,RRE
AIM TELEPHONES INC,00142310,001423102,1028,625,USA,7547B
AIM EASTERN EUROPE FUND,00141J10,00141J108,21148,621,USA,GTF.1
AILEEN INC,00887810,008878100,1197,619,USA,AEENQ
AIFS INC,00136693,001366939,12147,618,USA,6805C
AI POWERED INTRNTNL EQTY ETF,26922A46,26922A461,33622,617,USA,AIIQ
AHI HEALTHCARE SYSTEMS INC,00129010,001290105,61363,610,USA,AHIS
AIR PACKAGING TECHNOLOGY INC,00891320,008913204,26592,634,USA,AIRP
AIRCOA HOTEL PARTNRS  -LP-A,00929310,009293101,13589,643,USA,AHT.1
AIRBEE WIRELESS INC,00925310,009253105,157233,639,USA,ABEW
AIR WATER INTERNATIONAL CORP,00922910,009229105,66048,638,USA,AWTI
AIR L A INC,00912520,009125204,22846,631,USA,3AILA
AIR EXPRESS INTERNATIONAL CP,00910410,009104100,1203,629,USA,AEIC
AINA LE'A INC -REDH,00901P10,00901P104,13186,628,USA,AIZY
AIMSI TECHNOLOGIES INC,00142610,001426105,146413,627,USA,AIMT.1
AIRONET WIRELESS COMM,00943A10,00943A107,122156,651,USA,AIRO.
AIRSHARES EU CARBON ALWNC FD,00950G10,00950G104,182079,652,USA,ASO
AIRLEASE LTD  -LP,00936610,009366105,13514,648,USA,AIRL
AIRGUIDE INC,00936W10,00936W108,2540,647,USA,3AGDC
AIRTECH INTERNATIONAL GROUP,00950F20,00950F205,21667,654,USA,AIRG.1
AJL PEPS TRUST  -ADR,00971010,009710104,61549,663,USA,AJP
AIRTRAX INC,00892010,008920100,125994,658,USA,AITX.1
AIRTOUCH COMMUNICATIONS-OLD,00949T10,00949T100,29318,656,USA,ATI.1
AKELA PHARMA INC,00972X20,00972X200,20877,669,USA,AKLPF
AKCEA THERAPEUTICS INC,00972L10,00972L107,32046,667,USA,AKCA
ALADDIN GAMING HOLDINGS LLC,01071493,010714939,114917,683,USA,9937B
